Number,  Location,  Area,  Price,Bedrooms,Bathrooms,Wardrobes,Cabinets,Balcony,Parking,Quarters
924,Kanombe, sqm,35 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
925,Gikondo, sqm,24 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
926,Kanombe,25/30 m,55 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,
927,Kabuga,20/25 m,27 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,
928,Kanombe,25/30 m,56 000 000  Rwf,4.0,3.0,,,,Yes,Yes
929,Gacuriro,25/30 m,90 000 000  Rwf,4.0,3.0,,,,Yes,Yes
930,Kagarama, sqm,50 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
931,, sqm,46 000 000  Rwf,4.0,3.0,,,,Yes,Yes
932,Kagugu,20/25 m,75 000 000  Rwf,4.0,3.0,,,,Yes,Yes
933,, sqm,65 000 000  Rwf,4.0,3.0,,Yes,,,
934,Kibagabaga, sqm,63 000 000  Rwf,4.0,3.0,,Yes,,,
935,Remera,40/30 m,25 000 000  Rwf,4.0,1.0,,,,Yes,Yes
936,Kanombe,500 sqm,39 000 000  Rwf,4.0,3.0,,,,Yes,
937,,30/20 m,63 000 000  Rwf,5.0,3.0,,Yes,,Yes,Yes
938,Kicukiro,20/30 m,52 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,
939,Kibagabaga, sqm,130 000 000  Rwf,5.0,4.0,,Yes,,Yes,
940,Kimironko,25/30 m,70 000 000  Rwf,4.0,3.0,,,,Yes,Yes
941,Nyarutarama, sqm,140 000 000  Rwf,5.0,4.0,,,,Yes,Yes
942,Gacuriro,30/25 m,110 000 000  Rwf,4.0,4.0,,,,Yes,Yes
943,Gacuriro,25/35 m,250 000 000  Rwf,5.0,5.0,,,,Yes,Yes
944,Kimironko,25/30 m,70 000 000  Rwf,4.0,3.0,,,,Yes,Yes
945,Kicukiro,25/30 m,65 000 000  Rwf,4.0,3.0,,,,Yes,Yes
946,,20/30 m,50 000 000  Rwf,4.0,3.0,,,,Yes,Yes
947,Kanombe,25/30 m,55 000 000  Rwf,,1.0,,,,Yes,Yes
948,,20/30 m,70 000 000  Rwf,5.0,3.0,,,,,
949,Kibagabaga, sqm,90 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,
950,Kagarama, sqm,50 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
951,Kimironko,25/20 m,50 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,
952,Kimironko,30/25 m,55 000 000  Rwf,3.0,2.0,Yes,Yes,Yes,Yes,
953,Gasogi,20/30 m,33 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,
954,,2 sqm,100 000 000  Rwf,4.0,3.0,,,Yes,,Yes
955,Kibagabaga,20/25 m,130 000 000  Rwf,5.0,4.0,,,,Yes,Yes
956,Kimironko,25/20 m,55 000 000  Rwf,3.0,2.0,Yes,Yes,Yes,Yes,
957,Kibagabaga,30/35 m,110 000 000  Rwf,6.0,5.0,,,,Yes,Yes
958,Remera, sqm,41 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
959,Kanombe,28/30 m,55 000 000  Rwf,4.0,3.0,,,,Yes,Yes
960,Kanombe,25/30 m,70 000 000  Rwf,5.0,3.0,,,,Yes,Yes
961,Masaka,25/20 m,26 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,
962,,30/45 m,60 000 000  Rwf,4.0,3.0,,,,,
963,Kagarama, sqm,65 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
964,Kibagabaga,25/30 m,135 000 000  Rwf,5.0,4.0,,,,Yes,Yes
965,,30/35 m,50 000 000  Rwf,,,,,,,
966,Kanombe,25/20 m,55 000 000  Rwf,4.0,3.0,,,,Yes,Yes
967,Kagarama, sqm,50 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
968,Kanombe,30/25 m,41 000 000  Rwf,,1.0,,,,Yes,Yes
969,Kimironko, sqm,70 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
970,Gacuriro,30/20 m,73 000 000  Rwf,4.0,3.0,,Yes,,Yes,Yes
971,, sqm,47 000 000  Rwf,4.0,3.0,,Yes,,,
972,Kanombe,30/20 m,45 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,
973,Gacuriro,500 sqm,85 000 000  Rwf,4.0,3.0,,,Yes,,Yes
974,Nyamirambo, sqm,45 000 000  Rwf,4.0,3.0,,,,,
975,Kibagabaga,35/30 m,150 000 000  Rwf,6.0,4.0,,,,Yes,Yes
976,Gacuriro,20/30 m,110 000 000  Rwf,4.0,3.0,,,,Yes,Yes
977,, sqm, 850 000 $,,1.0,,,Yes,,
978,Gisozi,750 sqm,55 000 000  Rwf,3.0,2.0,,,Yes,,Yes
979,Kibagabaga,35/30 m,140 000 000  Rwf,6.0,4.0,,,,Yes,Yes
980,, sqm,15 000 000  Rwf,3.0,,,,,Yes,
981,Kicukiro,20/30 m,65 000 000  Rwf,4.0,3.0,,,,Yes,Yes
982,Kicukiro, sqm,130 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,
983,Kibagabaga,25/25 m,100 000 000  Rwf,4.0,3.0,,,,Yes,Yes
984,Kibagabaga,25/30 m,100 000 000  Rwf,4.0,3.0,,,,Yes,Yes
985,Airport,400 sqm,18 000 000  Rwf,3.0,1.0,,,,,Yes
986,, sqm,52 000 000  Rwf,4.0,3.0,,,,Yes,Yes
987,Kimironko, sqm,60 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
988,Kimironko,25/30 m,50 000 000  Rwf,4.0,3.0,,,,,
989,Kagarama,20/30 m,55 000 000  Rwf,4.0,3.0,,,,,
990,Rugende,945 sqm,26 000 000  Rwf,5.0,3.0,,,,,
991,Kibagabaga,25/30 m,130 000 000  Rwf,,1.0,,,,Yes,Yes
992,Kanombe,25/30 m,60 000 000  Rwf,4.0,3.0,,,,Yes,Yes
993,Kimironko,25/30 m,70 000 000  Rwf,4.0,3.0,,,,Yes,Yes
994,Kanombe,25/30 m,35 000 000  Rwf,4.0,3.0,,,,Yes,
995,, sqm,29 000 000  Rwf,4.0,,,,,,
996,Gacuriro, sqm,250 000 000  Rwf,5.0,5.0,,Yes,,,
997,Kanombe, sqm,56 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
998,Kibagabaga,25/30 m,55 000 000  Rwf,5.0,3.0,,,,Yes,Yes
999,Kimironko,30/25 m,60 000 000  Rwf,4.0,3.0,,,,Yes,Yes
1000,Kimironko,30/30 m,65 000 000  Rwf,4.0,3.0,,,,Yes,Yes
